+-------------------------------------+-------+
|                Symbol               | Count |
|        page_add_new_anon_rmap       |   47  |
|         proc_exec_connector         |   1   |
|              free_pages             |   3   |
|                __fget               |   12  |
|        kmem_cache_alloc_trace       |   29  |
|           cpumask_next_and          |   1   |
|             unlock_page             |  604  |
|              sys_write              |   15  |
|    security_bprm_committed_creds    |   1   |
|              split_vma              |   17  |
|              __vfs_read             |   5   |
|           put_files_struct          |   1   |
|             unlazy_walk             |   10  |
|          account_user_time          |   1   |
|             n_tty_ioctl             |   1   |
|            tty_write_room           |  296  |
|            group_sched_in           |   2   |
|         acct_account_cputime        |   1   |
|          generic_permission         |   55  |
|        perf_log_itrace_start        |   2   |
|             cap_capable             |   18  |
|           rcu_advance_cbs           |   1   |
|             commit_creds            |   1   |
|              __close_fd             |   10  |
|          security_mmap_addr         |   28  |
|           perf_swevent_add          |   2   |
|               exit_sem              |   1   |
|           track_pfn_remap           |   2   |
|          ext4_release_file          |   9   |
|           setup_arg_pages           |   1   |
|           filename_lookup           |   9   |
|        rcu_process_callbacks        |   1   |
|           __vma_link_file           |   45  |
|              copy_page              |   18  |
|         sys_set_robust_list         |   1   |
|               sys_mmap              |   19  |
|             vma_rb_erase            |   10  |
|          disassociate_ctty          |   1   |
|        tty_buffer_space_avail       |  296  |
|             path_noexec             |   16  |
|        flush_signal_handlers        |   1   |
|            task_work_add            |   11  |
|            _copy_to_user            |  125  |
|              sys_munmap             |   1   |
|             do_sigaction            |   2   |
|            anon_vma_clone           |   21  |
|           ext4_release_dir          |   1   |
|          atime_needs_update         |   27  |
|              rcu_all_qs             |   2   |
|             revert_creds            |   7   |
|         ext4_get_inode_flags        |   1   |
|               filldir               |  110  |
|      native_smp_send_reschedule     |   2   |
|            __dentry_kill            |   1   |
|         xfer_secondary_pool         |   1   |
|         check_preempt_wakeup        |   1   |
|             __fdget_pos             |   20  |
|      local_apic_timer_interrupt     |   1   |
|          __local_bh_enable          |   1   |
|         __pagevec_lru_add_fn        |   47  |
|       vma_interval_tree_insert      |   58  |
|             SYSC_statfs             |   2   |
|              vfs_write              |   15  |
|             unmap_region            |   10  |
|             copy_termios            |   1   |
|            vm_mmap_pgoff            |   23  |
|     jbd2_journal_dirty_metadata     |   1   |
|            do_group_exit            |   1   |
|           _copy_from_user           |   18  |
|             pipe_release            |   1   |
|           ___pmd_free_tlb           |   2   |
|      unfreeze_partials.isra.67      |   1   |
|         special_mapping_name        |   2   |
| lru_cache_add_active_or_unevictable |   47  |
|      __inode_wait_for_writeback     |   1   |
|               vm_mmap               |   4   |
|          __inode_permission         |   57  |
|           _mix_pool_bytes           |   2   |
|          selinux_sb_statfs          |   2   |
|               may_open              |   8   |
|         security_file_ioctl         |   2   |
|            destroy_inode            |   1   |
|         migrate_task_rq_fair        |   1   |
|             profile_tick            |   1   |
|        hrtimer_try_to_cancel        |   1   |
|         _atomic_dec_and_lock        |   1   |
|            pte_alloc_one            |   13  |
|        delayed_work_timer_fn        |   1   |
|            link_path_walk           |   21  |
|           ___pte_free_tlb           |   14  |
|              sys_ioctl              |   2   |
|              __put_cred             |   7   |
|          __msecs_to_jiffies         |   2   |
|       vma_gap_callbacks_rotate      |   39  |
|        htree_dirblock_to_tree       |   1   |
|           wake_up_process           |   89  |
|            timerqueue_del           |   1   |
|       percpu_down_read_trylock      |   1   |
|       __hrtimer_get_next_event      |   1   |
|          lru_add_drain_cpu          |   16  |
|    __perf_event__output_id_sample   |   11  |
|        native_irq_return_iret       |   98  |
|        switch_task_namespaces       |   1   |
|       _install_special_mapping      |   2   |
|            free_pipe_info           |   1   |
|     __perf_event_task_sched_out     |   1   |
|        recalc_sigpending_tsk        |   1   |
|         lockref_get_not_zero        |   10  |
|             local_clock             |   15  |
|           extract_entropy           |   1   |
|    wakeup_preempt_entity.isra.54    |   2   |
|            taskstats_exit           |   1   |
|              exit_idle              |   1   |
|            scheduler_tick           |   1   |
|       update_rq_clock.part.83       |   75  |
|            mprotect_fixup           |   13  |
|                memcpy               |  483  |
|          task_ctx_sched_out         |   1   |
|            cap_mmap_file            |   23  |
|             __get_user_8            |   3   |
|       locks_free_lock_context       |   1   |
|             __do_softirq            |   1   |
|             lookup_fast             |   45  |
|            vmacache_find            |  131  |
|            walk_component           |   34  |
|            retint_kernel            |   97  |
|             native_iret             |   98  |
|           anon_vma_prepare          |   48  |
|               sys_open              |   8   |
|        __mod_zone_page_state        |  255  |
|             dentry_free             |   1   |
|      free_pages_and_swap_cache      |   5   |
|         cred_has_capability         |   18  |
|           __task_pid_nr_ns          |   23  |
|      __install_special_mapping      |   2   |
|          selinux_mmap_addr          |   28  |
|       ext4_reserve_inode_write      |   1   |
|         ext4_mark_iloc_dirty        |   1   |
|            ldsem_up_read            |   16  |
|          hrtimer_interrupt          |   1   |
|          __set_task_blocked         |   1   |
|           exit_robust_list          |   1   |
|        perf_event_idx_default       |   2   |
|           task_tgid_nr_ns           |   22  |
|            get_align_mask           |   18  |
|           statfs_by_dentry          |   2   |
|         security_inode_free         |   1   |
|              sys_access             |   7   |
|        update_stats_wait_end        |   1   |
|    jbd2_journal_get_write_access    |   1   |
|           tty_write_unlock          |   15  |
|            get_empty_filp           |   8   |
|             __fdget_raw             |   9   |
|         ext4_inode_csum_set         |   1   |
|            iov_iter_init            |   5   |
|         pat_pagerange_is_ram        |   2   |
|       event_sched_in.isra.106       |   2   |
|              pty_write              |  296  |
|            tty_audit_exit           |   1   |
|           __legitimize_mnt          |   14  |
|          perf_event_aux_ctx         |  440  |
|                mmput                |   1   |
|               path_get              |   8   |
|       fsnotify_find_inode_mark      |   1   |
|       __ext4_journal_start_sb       |   1   |
|             expand_stack            |   1   |
|             clear_inode             |   1   |
|               get_acl               |   1   |
|                evict                |   1   |
|           expand_downwards          |   1   |
|              set_nlink              |   4   |
|          security_sb_statfs         |   2   |
|              mm_release             |   1   |
|           perf_pmu_nop_txn          |   2   |
|        account_entity_dequeue       |   1   |
|             memset_erms             |  157  |
|              fd_install             |   8   |
|        avc_has_extended_perms       |   2   |
|          security_file_open         |   8   |
|              down_read              |   18  |
|          strncpy_from_user          |   17  |
|            do_output_char           |  148  |
|             strnlen_user            |   22  |
|          free_inode_nonrcu          |   1   |
|             sigprocmask             |   1   |
|         ext4_get_group_desc         |   1   |
|          reusable_anon_vma          |   26  |
|          lockref_put_return         |   41  |
|            get_cached_acl           |   1   |
|          tty_ldisc_ref_wait         |   16  |
|          str2hashbuf_signed         |  110  |
|          half_md4_transform         |  110  |
|            tlb_gather_mmu           |   11  |
|                __fput               |   11  |
|     selinux_file_alloc_security     |   8   |
|             n_tty_write             |   15  |
|           get_pwq.isra.22           |   89  |
|      truncate_inode_pages_final     |   1   |
|       syscall_return_slowpath       |   3   |
|        effective_load.isra.37       |   52  |
|            pty_write_room           |  296  |
|         kernfs_refresh_inode        |   4   |
|         update_min_vruntime         |   5   |
|             kmalloc_slab            |  117  |
|          start_this_handle          |   1   |
|             kill_fasync             |   1   |
|      syscall_return_via_sysret      |   2   |
|       get_task_policy.part.29       |   65  |
|             __put_user_8            |   1   |
|            add_wait_queue           |   15  |
|            hrtick_update            |   73  |
|              mutex_lock             |  307  |
|            call_timer_fn            |   1   |
|               irq_exit              |   1   |
|        radix_tree_next_chunk        |   54  |
|       restore_c_regs_and_iret       |   98  |
|            __d_lookup_rcu           |   41  |
|            __vma_link_rb            |   45  |
|          hrtimer_run_queues         |   1   |
|            process_echoes           |   15  |
|           llist_del_first           |   3   |
|    ttwu_do_activate.constprop.95    |   73  |
|            mutex_trylock            |   15  |
|          irq_work_run_list          |   1   |
|               put_pid               |   11  |
|     blocking_notifier_call_chain    |   2   |
|            lru_add_drain            |   16  |
|         __ext4_get_inode_loc        |   1   |
|            ext4_file_open           |   7   |
|       perf_pmu_enable.part.94       |   4   |
|        security_prepare_creds       |   7   |
|         tick_sched_do_timer         |   1   |
|            queue_work_on            |  239  |
|         inc_zone_page_state         |   13  |
|           __do_page_fault           |   96  |
|          perf_output_begin          |   11  |
|               up_read               |  114  |
|             resched_curr            |   73  |
|              module_put             |   13  |
|     opportunistic_sysret_failed     |   1   |
|            sha_transform            |   4   |
|               exit_shm              |   1   |
|          rb_next_postorder          |  110  |
|         cap_vm_enough_memory        |   18  |
|         apic_timer_interrupt        |   1   |
|             tty_put_char            |  133  |
|      entry_SYSCALL_64_fastpath      |  103  |
|            ext4_dir_open            |   1   |
|        __inc_zone_page_state        |   64  |
|        ext4_mark_inode_dirty        |   1   |
|               leave_mm              |   1   |
|           ext4_map_blocks           |   1   |
|          __fsnotify_parent          |   56  |
|              clear_user             |   2   |
|          fsnotify_find_mark         |   1   |
|            do_arch_prctl            |   1   |
|        _find_next_bit.part.0        |   62  |
|         find_next_iomem_res         |   2   |
|             update_curr             |   80  |
|        cpuacct_account_field        |   1   |
|           memzero_explicit          |   5   |
|               elf_map               |   4   |
|          locks_remove_posix         |   13  |
|        selinux_inode_getattr        |   9   |
|              do_munmap              |   10  |
|            free_fs_struct           |   1   |
|          rcu_accelerate_cbs         |   1   |
|            ext4_file_mmap           |   16  |
|              vm_munmap              |   2   |
|             __free_pages            |   4   |
|        radix_tree_lookup_slot       |   15  |
|               exit_aio              |   1   |
|              is_dx_dir              |   2   |
|           rb_insert_color           |  186  |
|              remove_vma             |   46  |
|            vm_normal_page           |  641  |
|          generic_file_open          |   7   |
|              exit_mmap              |   1   |
|      selinux_inode_follow_link      |   4   |
|       smp_apic_timer_interrupt      |   1   |
|               ____fput              |   11  |
|        __kmalloc_track_caller       |   7   |
|             kick_process            |   4   |
|            do_page_fault            |   96  |
|         next_zones_zonelist         |  195  |
|         ext4_htree_fill_tree        |   1   |
|            find_get_entry           |   15  |
|         jbd2__journal_start         |   1   |
|           __get_vma_policy          |   47  |
|         run_posix_cpu_timers        |   1   |
|             untrack_pfn             |   1   |
|        vma_wants_writenotify        |   47  |
|         sys_set_tid_address         |   1   |
|              ktime_get              |   2   |
|           enqueue_hrtimer           |   1   |
|       get_pfnblock_flags_mask       |   70  |
|         __page_set_anon_rmap        |   47  |
|            _raw_spin_lock           |  429  |
|          file_ra_state_init         |   8   |
|   vma_interval_tree_augment_rotate  |   18  |
|        security_file_mprotect       |   12  |
|       selinux_vm_enough_memory      |   18  |
|       rcu_note_context_switch       |   1   |
|         perf_event_task_tick        |   1   |
|            clear_buddies            |   1   |
|            activate_task            |   73  |
|           handle_mm_fault           |   96  |
|         can_vma_merge_before        |   19  |
|           unmap_single_vma          |   46  |
|            pt_event_stop            |   2   |
|           perf_output_end           |   11  |
|              __kmalloc              |  110  |
|            ttwu_do_wakeup           |   73  |
|               up_write              |  170  |
|     __ext4_handle_dirty_metadata    |   1   |
|           current_fs_time           |   28  |
|           update_rq_clock           |   1   |
|             extract_buf             |   2   |
|                kfree                |  160  |
|        _raw_spin_lock_irqsave       |  158  |
|            terminate_walk           |   17  |
|          install_exec_creds         |   1   |
|           get_random_bytes          |   1   |
|           ldsem_down_read           |   16  |
|                strcmp               |   23  |
|               rb_erase              |   2   |
|          drop_links.isra.18         |   17  |
|              tty_ioctl              |   2   |
|          total_mapping_size         |   1   |
|              vfs_fstat              |   9   |
|       add_transaction_credits       |   1   |
|              do_wp_page             |   11  |
|             __pud_alloc             |   1   |
|              unmap_vmas             |   11  |
|      selinux_file_free_security     |   11  |
|             sched_clock             |   90  |
|               vma_link              |   24  |
|          _raw_spin_lock_irq         |   7   |
|       security_file_permission      |   22  |
|           trailing_symlink          |   4   |
|       find_mergeable_anon_vma       |   13  |
|               fsnotify              |   56  |
|         __ext4_journal_stop         |   1   |
|            free_pgtables            |   11  |
|            vma_dup_policy           |   21  |
|               schedule              |   1   |
|             __queue_work            |   89  |
|          enqueue_task_fair          |   73  |
|            flush_tlb_page           |   11  |
|           policy_zonelist           |   65  |
|            lookup_memtype           |   2   |
|            sys_getrlimit            |   1   |
|             acct_collect            |   1   |
|            release_pages            |   17  |
|          security_mmap_file         |   23  |
|        run_rebalance_domains        |   1   |
|           __rb_erase_color          |   4   |
|          free_pages.part.82         |   3   |
|              vma_merge              |   38  |
|       vma_interval_tree_remove      |   58  |
|           perf_pmu_nop_int          |   4   |
|             __module_get            |   1   |
|        __dec_zone_page_state        |   64  |
|              exit_files             |   1   |
|          rebalance_domains          |   1   |
|        __find_get_block_slow        |   2   |
|              filp_close             |   13  |
|           sched_clock_cpu           |   75  |
|           __mnt_want_write          |   1   |
|           task_waking_fair          |   73  |
|              __schedule             |   1   |
|              vma_adjust             |   25  |
|       __mnt_is_readonly.part.9      |   1   |
|          tty_paranoia_check         |   17  |
|          get_cached_acl_rcu         |   1   |
|           perf_event_mmap           |   41  |
|           unlink_anon_vmas          |   46  |
|    __blocking_notifier_call_chain   |   2   |
|          perf_pmu_nop_void          |   8   |
|      __tty_buffer_request_room      |  239  |
|                 dput                |   51  |
|    int_ret_from_sys_call_irqs_off   |   2   |
|            file_has_perm            |   28  |
|           generic_fillattr          |   9   |
|            bit_waitqueue            |   2   |
|               __fdget               |   4   |
|          __note_gp_changes          |   1   |
|             __mutex_init            |   8   |
|        attach_entity_load_avg       |   1   |
|               kmemdup               |   7   |
|        perf_output_put_handle       |   11  |
|           unlink_file_vma           |   46  |
|           kmem_cache_alloc          |  119  |
|          restore_nameidata          |   17  |
|             __pte_alloc             |   13  |
|         pick_next_task_fair         |   1   |
|               map_vdso              |   1   |
|         rcu_check_callbacks         |   1   |
|                mntget               |   8   |
|             sys_getdents            |   2   |
|              free_bprm              |   1   |
|      perf_event_update_userpage     |   2   |
|       free_hot_cold_page_list       |   17  |
|              page_fault             |   96  |
|          run_timer_softirq          |   1   |
|               PageHuge              |  112  |
|             __clear_user            |   2   |
|         __zone_watermark_ok         |   65  |
|           percpu_down_read          |   1   |
|         lockref_get_not_dead        |   12  |
|           __destroy_inode           |   1   |
|           kmem_cache_free           |  115  |
|             do_sys_open             |   8   |
|    copy_user_enhanced_fast_string   |  149  |
|  tty_insert_flip_string_fixed_flag  |  239  |
|           vmacache_update           |   70  |
|     arch_setup_additional_pages     |   1   |
|           ext4_dirty_inode          |   1   |
|          locks_remove_file          |   11  |
|              sys_statfs             |   2   |
|          avc_has_perm_flags         |   4   |
|       legitimize_path.isra.29       |   2   |
|              do_prlimit             |   1   |
|             rcu_irq_exit            |   1   |
|         wp_page_copy.isra.83        |   11  |
|          sched_clock_stable         |   2   |
|           do_statfs_native          |   2   |
|             sys_mprotect            |   12  |
|               idle_cpu              |   76  |
|               vfs_open              |   8   |
|            try_module_get           |   8   |
|           note_gp_changes           |   2   |
|    anon_vma_interval_tree_insert    |   31  |
|           arch_align_stack          |   2   |
|                 fput                |   65  |
|              do_set_pte             |  598  |
|               __brelse              |   4   |
|           __enqueue_entity          |   75  |
|          free_hot_cold_page         |   70  |
|           group_sched_out           |   6   |
|            __put_anon_vma           |   14  |
|              down_write             |  170  |
|         __hrtimer_run_queues        |   1   |
|             __lookup_mnt            |   18  |
|                d_path               |   28  |
|      security_inode_permission      |   55  |
|      __compute_runnable_contrib     |   37  |
|            _raw_read_lock           |   6   |
|             __vfs_write             |   15  |
|               put_page              |   46  |
|                mntput               |   37  |
|       perf_event_switch_output      |   6   |
|    security_bprm_committing_creds   |   1   |
|   __ext4_journal_get_write_access   |   1   |
|               path_put              |   4   |
|             retint_user             |   93  |
|        int_ret_from_sys_call        |   3   |
|        __set_current_blocked        |   1   |
|          cyc2ns_read_begin          |   2   |
|             start_thread            |   1   |
|         file_map_prot_check         |   35  |
|            call_rcu_sched           |   19  |
|         __split_vma.isra.40         |   21  |
|  __compute_runnable_contrib.part.55 |   1   |
|           put_prev_entity           |   2   |
|              irq_enter              |   1   |
|              rcu_bh_qs              |   1   |
|          down_read_trylock          |   96  |
+-------------------------------------+-------+
('Unique symbols = ', 780)
('Total  symbols = ', 26845)
{'ext4': 394, 'sched': 1442, 'perf': 851, 'lock': 2600, 'selinux': 213, 'page': 5270}
