+-------------------------------------+-------+
|                Symbol               | Count |
|            inode_free_rcu           |   1   |
|           handle_irq_event          |   1   |
|         xfer_secondary_pool         |   1   |
|         check_preempt_wakeup        |   6   |
|          __pagevec_release          |   10  |
|             __fdget_pos             |   51  |
|      local_apic_timer_interrupt     |   47  |
|            free_fs_struct           |   1   |
|               path_put              |   2   |
|          free_pcppages_bulk         |   6   |
|           free_buffer_head          |  128  |
|          disassociate_ctty          |   1   |
|          rcu_accelerate_cbs         |   7   |
|       handle_irq_event_percpu       |   1   |
|          __local_bh_enable          |   48  |
|         __pagevec_lru_add_fn        |  213  |
|       vma_interval_tree_insert      |   21  |
|           ext4_get_dquots           |   2   |
|              vfs_write              |   33  |
|         create_empty_buffers        |  129  |
|             unmap_region            |   4   |
|           serio_interrupt           |   1   |
|          security_cred_free         |   3   |
|            vm_mmap_pgoff            |   11  |
|       ext4_reserve_inode_write      |  166  |
|            do_group_exit            |   1   |
|           _copy_from_user           |   11  |
|             pipe_release            |   1   |
|            __lookup_hash            |   1   |
|           ___pmd_free_tlb           |   2   |
|       ext4_superblock_csum_set      |   2   |
|          __page_cache_alloc         |  130  |
|         special_mapping_name        |   2   |
|         ext4_group_desc_csum        |   3   |
| lru_cache_add_active_or_unevictable |   83  |
|      __inode_wait_for_writeback     |   2   |
|         add_input_randomness        |   1   |
|               vm_mmap               |   4   |
|          __inode_permission         |   22  |
|           _mix_pool_bytes           |   2   |
|       ext4_itable_unused_count      |   1   |
|         __irq_complete_move         |   1   |
|   jbd2_journal_try_to_free_buffers  |  128  |
|           iov_iter_advance          |  129  |
|               may_open              |   4   |
|            destroy_inode            |   2   |
|            d_splice_alias           |   1   |
|             profile_tick            |   47  |
|        hrtimer_try_to_cancel        |   1   |
|           _raw_write_lock           |  132  |
|      ext4_validate_block_bitmap     |   1   |
|         _atomic_dec_and_lock        |   6   |
|            pte_alloc_one            |   5   |
|         ext4_es_free_extent         |   2   |
|          __rmqueue.isra.83          |  186  |
|            link_path_walk           |   9   |
|    jbd2_journal_grab_journal_head   |  134  |
|           __es_tree_search          |  133  |
|     jbd2_journal_init_jbd_inode     |   1   |
|       capable_wrt_inode_uidgid      |   6   |
|         ext4_file_write_iter        |   33  |
|              __put_cred             |   3   |
|          __msecs_to_jiffies         |   2   |
|       vma_gap_callbacks_rotate      |   16  |
|           wake_up_process           |   6   |
|            timerqueue_del           |   47  |
|       __hrtimer_get_next_event      |   47  |
|          lru_add_drain_cpu          |   19  |
|       raw_notifier_call_chain       |   42  |
|    __perf_event__output_id_sample   |   17  |
|        native_irq_return_iret       |  165  |
|        switch_task_namespaces       |   1   |
|       _install_special_mapping      |   2   |
|              kbd_event              |   3   |
|            free_pipe_info           |   1   |
|     __perf_event_task_sched_out     |   6   |
|         ext4_free_inodes_set        |   2   |
|        recalc_sigpending_tsk        |   4   |
|         lockref_get_not_zero        |   3   |
|             local_clock             |   31  |
|           extract_entropy           |   1   |
|      truncate_inode_pages_range     |   1   |
|    wakeup_preempt_entity.isra.54    |   12  |
|      ext4_block_bitmap_csum_set     |   1   |
|              __d_rehash             |   1   |
|    __set_page_dirty.constprop.46    |  129  |
|       update_rq_clock.part.83       |   57  |
|            mprotect_fixup           |   5   |
|                memcpy               |  130  |
|          task_ctx_sched_out         |   1   |
|         security_inode_alloc        |   1   |
|            cap_mmap_file            |   11  |
|       locks_free_lock_context       |   2   |
|             __do_softirq            |   48  |
|             lookup_fast             |   13  |
|            vmacache_find            |  130  |
|            walk_component           |   9   |
|           ep_poll_callback          |   2   |
|            ext4_add_entry           |   1   |
|            retint_kernel            |  164  |
|           ext4_alloc_inode          |   1   |
|             native_iret             |  165  |
|           anon_vma_prepare          |   84  |
|              vfs_create             |   1   |
|               sys_open              |   4   |
|         rcu_gp_kthread_wake         |   1   |
|        __mod_zone_page_state        |  1263 |
|             dentry_free             |   1   |
|      free_pages_and_swap_cache      |   4   |
|          __dquot_initialize         |   8   |
|         cred_has_capability         |   17  |
|           __task_pid_nr_ns          |   34  |
|      __install_special_mapping      |   2   |
|         __remove_inode_hash         |   1   |
|        selinux_d_instantiate        |   2   |
|           ext4_free_blocks          |   1   |
|          selinux_mmap_addr          |   15  |
|         __dquot_alloc_space         |  129  |
|           ext4_find_entry           |   2   |
|     jbd2_journal_dirty_metadata     |  176  |
|         inode_reserved_space        |  129  |
|      ext4_ext_put_gap_in_cache      |   1   |
